name,main__temp
Mumbai,304.14
Delhi,291.2
Bengaluru,294.75
Hyderabad,297.38
Ahmedabad,299.17
Chennai,293.08
Surat,301.14
Pune,301.13
Jaipur,291.77
Kolkata,294.12
Thāne,304.1
Agra,291.96
Madurai,292.59
Tiruchirappalli,285.72
Bhubaneswar,297.27
Salem,299.85
Jammu,290.32
Udaipur,292.6
Siliguri,299.13
Kochi,305.14
